genres,title,movie,rating100
War,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),750,89.0
Fantasy,Star Wars: Episode IV - A New Hope (1977),260,89.0
Action,Star Wars: Episode IV - A New Hope (1977),260,89.0
Documentary,For All Mankind (1989),3338,89.0
Drama,To Kill a Mockingbird (1962),1207,89.0
Adventure,Star Wars: Episode IV - A New Hope (1977),260,89.0
Sci-Fi,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),750,89.0
Mystery,"Third Man, The (1949)",1212,89.0
War,Paths of Glory (1957),1178,89.0
Animation,Wallace & Gromit: The Best of Aardman Animation (1996),720,89.0
Drama,"World of Apu, The (Apur Sansar) (1959)",670,88.0
Comedy,City Lights (1931),3307,88.0
War,"Great Escape, The (1963)",1262,88.0
Adventure,Lawrence of Arabia (1962),1204,88.0
Thriller,North by Northwest (1959),908,88.0
Adventure,"Great Escape, The (1963)",1262,88.0
Mystery,"Maltese Falcon, The (1941)",913,88.0
Romance,Casablanca (1942),912,88.0
Film-Noir,"Maltese Falcon, The (1941)",913,88.0
War,"Bridge on the River Kwai, The (1957)",1250,88.0
Crime,Double Indemnity (1944),3435,88.0
Drama,Casablanca (1942),912,88.0
War,Lawrence of Arabia (1962),1204,88.0
Drama,"Bridge on the River Kwai, The (1957)",1250,88.0
Drama,Yojimbo (1961),3030,88.0
Romance,City Lights (1931),3307,88.0
Drama,One Flew Over the Cuckoo's Nest (1975),1193,88.0
Comedy,Yojimbo (1961),3030,88.0
Western,Yojimbo (1961),3030,88.0
Drama,North by Northwest (1959),908,88.0
Documentary,Return with Honor (1998),2930,88.0
Drama,Pather Panchali (1955),668,88.0
War,Casablanca (1942),912,88.0
Drama,City Lights (1931),3307,88.0
Film-Noir,Double Indemnity (1944),3435,88.0
Thriller,"Sixth Sense, The (1999)",2762,88.0
Drama,Citizen Kane (1941),923,88.0
War,Saving Private Ryan (1998),2028,87.0
Comedy,Creature Comforts (1990),3429,87.0
Drama,"Bicycle Thief, The (Ladri di biciclette) (1948)",3089,87.0
Drama,Saving Private Ryan (1998),2028,87.0
War,"Grand Illusion (Grande illusion, La) (1937)",3134,87.0
Animation,"Grand Day Out, A (1992)",1223,87.0
Comedy,Soft Fruit (1999),3410,87.0
Thriller,"Silence of the Lambs, The (1991)",593,87.0
Film-Noir,Chinatown (1974),1252,87.0
Comedy,"Grand Day Out, A (1992)",1223,87.0
Thriller,Chinatown (1974),1252,87.0
Drama,Dersu Uzala (1974),3470,87.0
Action,Saving Private Ryan (1998),2028,87.0
Drama,To Live (Huozhe) (1994),326,87.0
Comedy,Monty Python and the Holy Grail (1974),1136,87.0
Documentary,Jupiter's Wife (1994),128,87.0
Drama,"Grand Illusion (Grande illusion, La) (1937)",3134,87.0
Mystery,Chinatown (1974),1252,87.0
Drama,"Godfather: Part II, The (1974)",1221,87.0
Action,"Godfather: Part II, The (1974)",1221,87.0
Crime,"Godfather: Part II, The (1974)",1221,87.0
Animation,Creature Comforts (1990),3429,87.0
Drama,Soft Fruit (1999),3410,87.0
Drama,"Silence of the Lambs, The (1991)",593,87.0
Adventure,Dersu Uzala (1974),3470,87.0
Drama,Hearts and Minds (1996),1423,87.0
Comedy,Life Is Beautiful (La Vita č bella) (1997),2324,87.0
Drama,Life Is Beautiful (La Vita č bella) (1997),2324,87.0
Thriller,"Manchurian Candidate, The (1962)",1267,87.0
Comedy,"General, The (1927)",3022,87.0
Film-Noir,"Manchurian Candidate, The (1962)",1267,87.0
Adventure,"Princess Bride, The (1987)",1197,86.0
Drama,"Boat, The (Das Boot) (1981)",1233,86.0
Romance,Singin' in the Rain (1952),899,86.0
Drama,American Beauty (1999),2858,86.0
Drama,Pulp Fiction (1994),296,86.0
Comedy,Cinema Paradiso (1988),1172,86.0
Musical,Singin' in the Rain (1952),899,86.0
War,Star Wars: Episode V - The Empire Strikes Back (1980),1196,86.0
Action,"Boat, The (Das Boot) (1981)",1233,86.0
Sci-Fi,Star Wars: Episode V - The Empire Strikes Back (1980),1196,86.0
Documentary,When We Were Kings (1996),1147,86.0
Drama,Time of the Gypsies (Dom za vesanje) (1989),2931,86.0
Action,Star Wars: Episode V - The Empire Strikes Back (1980),1196,86.0
Drama,GoodFellas (1990),1213,86.0
Thriller,Strangers on a Train (1951),2186,86.0
Romance,"Philadelphia Story, The (1940)",898,86.0
Action,"Princess Bride, The (1987)",1197,86.0
Romance,"Princess Bride, The (1987)",1197,86.0
Romance,Cinema Paradiso (1988),1172,86.0
Mystery,"Big Sleep, The (1946)",1284,86.0
Comedy,American Beauty (1999),2858,86.0
Comedy,It Happened One Night (1934),905,86.0
Sci-Fi,"Matrix, The (1999)",2571,86.0
Film-Noir,Notorious (1946),930,86.0
Comedy,"Philadelphia Story, The (1940)",898,86.0
Comedy,"Palm Beach Story, The (1942)",2937,86.0
Romance,Notorious (1946),930,86.0
Action,"Matrix, The (1999)",2571,86.0
Drama,"400 Blows, The (Les Quatre cents coups) (1959)",2731,86.0
Drama,West Beirut (West Beyrouth) (1998),2839,86.0
War,"Boat, The (Das Boot) (1981)",1233,86.0
Film-Noir,M (1931),1260,86.0
Drama,12 Angry Men (1957),1203,86.0
Film-Noir,Strangers on a Train (1951),2186,86.0
Comedy,"Princess Bride, The (1987)",1197,86.0
Drama,Cinema Paradiso (1988),1172,86.0
Drama,Inherit the Wind (1960),3469,86.0
War,Henry V (1989),1224,86.0
Crime,M (1931),1260,86.0
Crime,Some Like It Hot (1959),910,86.0
Adventure,"Treasure of the Sierra Madre, The (1948)",1254,86.0
Drama,Kagemusha (1980),3091,86.0
Crime,GoodFellas (1990),1213,86.0
Drama,Star Wars: Episode V - The Empire Strikes Back (1980),1196,86.0
Thriller,"Matrix, The (1999)",2571,86.0
Adventure,Star Wars: Episode V - The Empire Strikes Back (1980),1196,86.0
Crime,Pulp Fiction (1994),296,86.0
Comedy,"Sting, The (1973)",1234,86.0
Thriller,M (1931),1260,86.0
Thriller,Notorious (1946),930,86.0
Crime,"Sting, The (1973)",1234,86.0
Drama,Henry V (1989),1224,86.0
Drama,Central Station (Central do Brasil) (1998),2357,86.0
Comedy,Some Like It Hot (1959),910,86.0
War,Kagemusha (1980),3091,86.0
Drama,"Celebration, The (Festen) (1998)",2360,86.0
Film-Noir,"Big Sleep, The (1946)",1284,86.0
Drama,Jean de Florette (1986),1131,86.0
Drama,It's a Wonderful Life (1946),953,86.0
Mystery,Vertigo (1958),903,85.0
Mystery,"Thin Man, The (1934)",950,85.0
War,Ran (1985),1217,85.0
Drama,Stalag 17 (1953),3196,85.0
Drama,Apocalypse Now (1979),1208,85.0
Crime,Fargo (1996),608,85.0
Sci-Fi,Blade Runner (1982),541,85.0
War,"Killing Fields, The (1984)",1299,85.0
Romance,"African Queen, The (1951)",969,85.0
War,Braveheart (1995),110,85.0
Documentary,42 Up (1998),3077,85.0
Drama,"Hustler, The (1961)",3468,85.0
Drama,Mr. Smith Goes to Washington (1939),954,85.0
Documentary,"Decline of Western Civilization, The (1981)",3679,85.0
Drama,Anatomy of a Murder (1959),3801,85.0
Drama,American History X (1998),2329,85.0
Drama,All About Eve (1950),926,85.0
Drama,"Killing Fields, The (1984)",1299,85.0
Thriller,Fargo (1996),608,85.0
Drama,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",1237,85.0
Drama,Braveheart (1995),110,85.0
Drama,Some Folks Call It a Sling Blade (1993),678,85.0
Drama,Almost Famous (2000),3897,85.0
Drama,Amadeus (1984),1225,85.0
Comedy,Modern Times (1936),3462,85.0
War,Patton (1970),1272,85.0
Comedy,"Christmas Story, A (1983)",2804,85.0
Drama,Manon of the Spring (Manon des sources) (1986),1132,85.0
Romance,"Graduate, The (1967)",1247,85.0
Drama,"Man for All Seasons, A (1966)",1949,85.0
Drama,"Wizard of Oz, The (1939)",919,85.0
Crime,On the Waterfront (1954),1945,85.0
Comedy,Ed's Next Move (1996),1002,85.0
Adventure,"Wizard of Oz, The (1939)",919,85.0
Documentary,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",363,85.0
Film-Noir,Blade Runner (1982),541,85.0
Musical,"Wizard of Oz, The (1939)",919,85.0
Drama,"Conversation, The (1974)",3730,85.0
Drama,Cool Hand Luke (1967),1276,85.0
Drama,"Conformist, The (Il Conformista) (1970)",2925,85.0
War,Apocalypse Now (1979),1208,85.0
Drama,"Graduate, The (1967)",1247,85.0
Thriller,Vertigo (1958),903,85.0
War,"African Queen, The (1951)",969,85.0
Drama,Ran (1985),1217,85.0
Drama,On the Waterfront (1954),1945,85.0
Thriller,Shadow of a Doubt (1943),2203,85.0
Thriller,Seven Days in May (1964),3634,85.0
Comedy,Almost Famous (2000),3897,85.0
Mystery,Anatomy of a Murder (1959),3801,85.0
Film-Noir,Shadow of a Doubt (1943),2203,85.0
Adventure,"African Queen, The (1951)",969,85.0
Thriller,Some Folks Call It a Sling Blade (1993),678,85.0
Drama,"Christmas Story, A (1983)",2804,85.0
Comedy,His Girl Friday (1940),951,85.0
Drama,Patton (1970),1272,85.0
Drama,"Eighth Day, The (Le Huitičme jour ) (1996)",1117,85.0
Documentary,Stop Making Sense (1984),2859,85.0
Drama,Fargo (1996),608,85.0
Children's,"Wizard of Oz, The (1939)",919,85.0
Documentary,"War Room, The (1993)",556,85.0
Comedy,Young Frankenstein (1974),1278,85.0
Mystery,"Conversation, The (1974)",3730,85.0
Documentary,"Thin Blue Line, The (1988)",1189,85.0
War,Stalag 17 (1953),3196,85.0
Action,"African Queen, The (1951)",969,85.0
Action,Braveheart (1995),110,85.0
Drama,"Streetcar Named Desire, A (1951)",1104,85.0
Drama,Three Colors: Red (1994),306,85.0
Comedy,Window to Paris (1994),598,85.0
Comedy,Cool Hand Luke (1967),1276,85.0
Horror,Young Frankenstein (1974),1278,85.0
Drama,Before the Rain (Pred dozhdot) (1994),214,85.0
Drama,Taxi Driver (1976),111,84.0
Western,Butch Cassidy and the Sundance Kid (1969),1304,84.0
Western,High Noon (1952),1283,84.0
Romance,"Lady Vanishes, The (1938)",2208,84.0
Drama,Blood Simple (1984),3683,84.0
Crime,Run Lola Run (Lola rennt) (1998),2692,84.0
Romance,"Lady Eve, The (1941)",2935,84.0
Romance,Children of Paradise (Les enfants du paradis) (1945),2920,84.0
Drama,Raging Bull (1980),1228,84.0
Children's,Toy Story 2 (1999),3114,84.0
Action,Run Lola Run (Lola rennt) (1998),2692,84.0
Romance,Run Lola Run (Lola rennt) (1998),2692,84.0
Comedy,Butch Cassidy and the Sundance Kid (1969),1304,84.0
Romance,Rebecca (1940),928,84.0
Romance,Charade (1963),911,84.0
Thriller,Psycho (1960),1219,84.0
Drama,"King of Masks, The (Bian Lian) (1996)",2609,84.0
Film-Noir,Touch of Evil (1958),1248,84.0
Horror,Psycho (1960),1219,84.0
Comedy,Roman Holiday (1953),916,84.0
Mystery,L.A. Confidential (1997),1617,84.0
Drama,"Pawnbroker, The (1965)",3789,84.0
Documentary,Hoop Dreams (1994),246,84.0
Thriller,Touch of Evil (1958),1248,84.0
Thriller,Taxi Driver (1976),111,84.0
Drama,Good Will Hunting (1997),1704,84.0
Drama,Glory (1989),1242,84.0
Drama,"Face in the Crowd, A (1957)",3038,84.0
Drama,Firelight (1997),2197,84.0
Comedy,"Lady Eve, The (1941)",2935,84.0
Comedy,"Lady Vanishes, The (1938)",2208,84.0
Drama,Nights of Cabiria (Le Notti di Cabiria) (1957),2351,84.0
Crime,Touch of Evil (1958),1248,84.0
Crime,L.A. Confidential (1997),1617,84.0
Crime,Laura (1944),942,84.0
Thriller,L.A. Confidential (1997),1617,84.0
Comedy,Cold Fever (Á köldum klaka) (1994),649,84.0
War,Duck Soup (1933),1256,84.0
Drama,Sling Blade (1996),1358,84.0
Animation,Toy Story 2 (1999),3114,84.0
Action,"Killer, The (Die xue shuang xiong) (1989)",1218,84.0
Thriller,Rebecca (1940),928,84.0
War,Glory (1989),1242,84.0
Comedy,Toy Story 2 (1999),3114,84.0
Drama,Children of Paradise (Les enfants du paradis) (1945),2920,84.0
Mystery,Laura (1944),942,84.0
Comedy,Trust (1990),1236,84.0
Musical,This Is Spinal Tap (1984),1288,84.0
Film-Noir,L.A. Confidential (1997),1617,84.0
Film-Noir,Laura (1944),942,84.0
Film-Noir,Blood Simple (1984),3683,84.0
Mystery,"Lady Vanishes, The (1938)",2208,84.0
Romance,Roman Holiday (1953),916,84.0
Thriller,Sling Blade (1996),1358,84.0
Drama,Nénette et Boni (1996),1664,84.0
Mystery,Charade (1963),911,84.0
Drama,Cold Fever (Á köldum klaka) (1994),649,84.0
Thriller,Charade (1963),911,84.0
Drama,Trust (1990),1236,84.0
War,All Quiet on the Western Front (1930),1927,84.0
Comedy,"Gold Rush, The (1925)",3629,84.0
Comedy,Charade (1963),911,84.0
Action,Butch Cassidy and the Sundance Kid (1969),1304,84.0
Action,Glory (1989),1242,84.0
Thriller,"Lady Vanishes, The (1938)",2208,84.0
Comedy,This Is Spinal Tap (1984),1288,84.0
Documentary,Paradise Lost: The Child Murders at Robin Hood Hills (1996),1361,84.0
Thriller,"Killer, The (Die xue shuang xiong) (1989)",1218,84.0
Comedy,Duck Soup (1933),1256,84.0
Comedy,Bringing Up Baby (1938),955,83.0
Romance,Shakespeare in Love (1998),2396,83.0
Horror,Alien (1979),1214,83.0
Comedy,Being John Malkovich (1999),2997,83.0
Romance,Shall We Dance? (1937),1066,83.0
Action,"Terminator, The (1984)",1240,83.0
Crime,Reservoir Dogs (1992),1089,83.0
Action,Alien (1979),1214,83.0
Film-Noir,Out of the Past (1947),2066,83.0
Romance,My Fair Lady (1964),914,83.0
Comedy,Toy Story (1995),1,83.0
Film-Noir,"Killing, The (1956)",2726,83.0
Mystery,Arsenic and Old Lace (1944),1269,83.0
Musical,Top Hat (1935),945,83.0
Action,Indiana Jones and the Last Crusade (1989),1291,83.0
Comedy,Shakespeare in Love (1998),2396,83.0
Thriller,Arsenic and Old Lace (1944),1269,83.0
Comedy,Top Hat (1935),945,83.0
Thriller,"Terminator, The (1984)",1240,83.0
Thriller,Aliens (1986),1200,83.0
Comedy,"Apartment, The (1960)",909,83.0
Romance,Annie Hall (1977),1230,83.0
Comedy,Annie Hall (1977),1230,83.0
Comedy,Arsenic and Old Lace (1944),1269,83.0
Animation,Toy Story (1995),1,83.0
Animation,"Princess Mononoke, The (Mononoke Hime) (1997)",3000,83.0
Sci-Fi,"Terminator, The (1984)",1240,83.0
Comedy,"Producers, The (1968)",2300,83.0
Comedy,Harold and Maude (1971),1235,83.0
Mystery,In the Heat of the Night (1967),1950,83.0
Comedy,Waiting for Guffman (1996),1449,83.0
Comedy,And Now for Something Completely Different (1971),2788,83.0
Thriller,Alien (1979),1214,83.0
Sci-Fi,"Day the Earth Stood Still, The (1951)",1253,83.0
Action,"Princess Mononoke, The (Mononoke Hime) (1997)",3000,83.0
Documentary,Hands on a Hard Body (1996),2330,83.0
Children's,Toy Story (1995),1,83.0
Comedy,Shall We Dance? (Shall We Dansu?) (1996),1537,83.0
Comedy,Shall We Dance? (1937),1066,83.0
Thriller,"Green Mile, The (1999)",3147,83.0
Crime,Hard-Boiled (Lashou shentan) (1992),3265,83.0
Adventure,"Man Who Would Be King, The (1975)",1303,83.0
Western,"Good, The Bad and The Ugly, The (1966)",1201,83.0
Sci-Fi,Aliens (1986),1200,83.0
War,Mister Roberts (1955),3035,83.0
Musical,"Producers, The (1968)",2300,83.0
Action,"Good, The Bad and The Ugly, The (1966)",1201,83.0
Crime,"Killing, The (1956)",2726,83.0
Adventure,"Princess Mononoke, The (Mononoke Hime) (1997)",3000,83.0
Musical,Shall We Dance? (1937),1066,83.0
Sci-Fi,Alien (1979),1214,83.0
Comedy,Mister Roberts (1955),3035,83.0
Action,Hard-Boiled (Lashou shentan) (1992),3265,83.0
Adventure,Indiana Jones and the Last Crusade (1989),1291,83.0
Action,Aliens (1986),1200,83.0
Romance,Top Hat (1935),945,83.0
Thriller,Reservoir Dogs (1992),1089,83.0
Musical,My Fair Lady (1964),914,83.0
War,Aliens (1986),1200,83.0
Crime,Badlands (1973),3741,82.0
Documentary,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),1111,82.0
Comedy,All About My Mother (Todo Sobre Mi Madre) (1999),3083,82.0
War,"Best Years of Our Lives, The (1946)",1939,82.0
Thriller,"39 Steps, The (1935)",965,82.0
Crime,Bonnie and Clyde (1967),1084,82.0
Horror,"Shining, The (1980)",1258,82.0
Comedy,Eat Drink Man Woman (1994),232,82.0
Crime,Seven (Se7en) (1995),47,82.0
Crime,"French Connection, The (1971)",1953,82.0
Comedy,My Man Godfrey (1936),947,82.0
Adventure,Stand by Me (1986),1259,82.0
Romance,Wings of Desire (Der Himmel über Berlin) (1987),1211,82.0
Western,"Wild Bunch, The (1969)",599,82.0
Action,"Fugitive, The (1993)",457,82.0
Action,Full Metal Jacket (1987),1222,82.0
War,Platoon (1986),1090,82.0
Action,Ben-Hur (1959),1287,82.0
Sci-Fi,"Clockwork Orange, A (1971)",1206,82.0
Sci-Fi,Brazil (1985),1199,82.0
Comedy,Manhattan (1979),1244,82.0
Romance,"Postino, Il (The Postman) (1994)",58,82.0
Romance,"Professional, The (a.k.a. Leon: The Professional) (1994)",293,82.0
Comedy,Harvey (1950),3088,82.0
Mystery,Dial M for Murder (1954),1086,82.0
Documentary,"Great Day in Harlem, A (1994)",602,82.0
Romance,Brief Encounter (1946),2927,82.0
Animation,Ghost in the Shell (Kokaku kidotai) (1995),741,82.0
Romance,Farewell My Concubine (1993),446,82.0
Romance,Forrest Gump (1994),356,82.0
Romance,From Here to Eternity (1953),1944,82.0
Documentary,Ayn Rand: A Sense of Life (1997),1780,82.0
Thriller,"Professional, The (a.k.a. Leon: The Professional) (1994)",293,82.0
Documentary,Anne Frank Remembered (1995),116,82.0
Thriller,Gaslight (1944),906,82.0
Thriller,"French Connection, The (1971)",1953,82.0
Thriller,"Fugitive, The (1993)",457,82.0
Romance,Manhattan (1979),1244,82.0
Mystery,Gaslight (1944),906,82.0
Horror,Jaws (1975),1387,82.0
Sci-Fi,Metropolis (1926),2010,82.0
Mystery,Lone Star (1996),800,82.0
Film-Noir,Key Largo (1948),3334,82.0
War,Breaker Morant (1980),3811,82.0
Sci-Fi,Ghost in the Shell (Kokaku kidotai) (1995),741,82.0
War,"Deer Hunter, The (1978)",1263,82.0
Romance,Ninotchka (1939),936,82.0
Documentary,Maya Lin: A Strong Clear Vision (1994),759,82.0
Thriller,Seven (Se7en) (1995),47,82.0
Comedy,To Catch a Thief (1955),933,82.0
Action,Jaws (1975),1387,82.0
War,Forrest Gump (1994),356,82.0
War,From Here to Eternity (1953),1944,82.0
War,Full Metal Jacket (1987),1222,82.0
Adventure,Ben-Hur (1959),1287,82.0
Action,Gladiator (2000),3578,82.0
Crime,"Professional, The (a.k.a. Leon: The Professional) (1994)",293,82.0
Comedy,Sullivan's Travels (1942),2936,82.0
Comedy,Forrest Gump (1994),356,82.0
Thriller,Die Hard (1988),1036,82.0
Comedy,Ninotchka (1939),936,82.0
Comedy,Ferris Bueller's Day Off (1986),2918,82.0
Thriller,Dial M for Murder (1954),1086,82.0
Crime,Key Largo (1948),3334,82.0
Thriller,Key Largo (1948),3334,82.0
Comedy,M*A*S*H (1970),1294,82.0
Thriller,To Catch a Thief (1955),933,82.0
Comedy,Wings of Desire (Der Himmel über Berlin) (1987),1211,82.0
Romance,To Catch a Thief (1955),933,82.0
War,M*A*S*H (1970),1294,82.0
Comedy,Stand by Me (1986),1259,82.0
Western,"Searchers, The (1956)",3365,82.0
Western,Unforgiven (1992),1266,82.0
Action,"French Connection, The (1971)",1953,82.0
Action,Die Hard (1988),1036,82.0
Action,Diva (1981),1264,81.0
Comedy,Crimes and Misdemeanors (1989),2973,81.0
Comedy,Take the Money and Run (1969),1963,81.0
Action,"Hunt for Red October, The (1990)",1610,81.0
Adventure,Mutiny on the Bounty (1935),1931,81.0
Thriller,Diva (1981),1264,81.0
Comedy,Kolya (1996),1446,81.0
Comedy,"Odd Couple, The (1968)",3507,81.0
Comedy,"Shop Around the Corner, The (1940)",3097,81.0
War,Doctor Zhivago (1965),2067,81.0
Comedy,Born Yesterday (1950),3341,81.0
Musical,West Side Story (1961),1947,81.0
Adventure,"City of Lost Children, The (1995)",29,81.0
Mystery,2001: A Space Odyssey (1968),924,81.0
Crime,Croupier (1998),3783,81.0
Comedy,Blazing Saddles (1974),3671,81.0
Comedy,Best in Show (2000),3911,81.0
Documentary,Buena Vista Social Club (1999),2677,81.0
Documentary,Crumb (1994),162,81.0
Romance,"Shop Around the Corner, The (1940)",3097,81.0
Comedy,"Great Dictator, The (1940)",1281,81.0
Animation,"Iron Giant, The (1999)",2761,81.0
Comedy,Little Big Man (1970),3037,81.0
Sci-Fi,2001: A Space Odyssey (1968),924,81.0
Thriller,"Spiral Staircase, The (1946)",3849,81.0
Comedy,When Harry Met Sally... (1989),1307,81.0
Romance,Diva (1981),1264,81.0
Romance,Doctor Zhivago (1965),2067,81.0
Documentary,"Celluloid Closet, The (1995)",581,81.0
Thriller,Body Heat (1981),2917,81.0
Documentary,"Brandon Teena Story, The (1998)",3281,81.0
Comedy,Roger & Me (1989),2064,81.0
Comedy,Animal House (1978),3421,81.0
Comedy,American Graffiti (1973),3363,81.0
Documentary,Roger & Me (1989),2064,81.0
Action,Terminator 2: Judgment Day (1991),589,81.0
Thriller,Terminator 2: Judgment Day (1991),589,81.0
Thriller,Three Days of the Condor (1975),2819,81.0
Thriller,2001: A Space Odyssey (1968),924,81.0
Romance,Persuasion (1995),28,81.0
Children's,"Iron Giant, The (1999)",2761,81.0
Mystery,Diva (1981),1264,81.0
Comedy,"Quiet Man, The (1952)",1226,81.0
Romance,"Quiet Man, The (1952)",1226,81.0
Documentary,Paris Is Burning (1990),1192,81.0
Romance,Sense and Sensibility (1995),17,81.0
Sci-Fi,Terminator 2: Judgment Day (1991),589,81.0
Romance,Beautiful Thing (1996),1046,81.0
Sci-Fi,"City of Lost Children, The (1995)",29,81.0
Crime,Body Heat (1981),2917,81.0
Thriller,"Hunt for Red October, The (1990)",1610,81.0
Romance,West Side Story (1961),1947,81.0
Romance,When Harry Met Sally... (1989),1307,81.0
Western,Blazing Saddles (1974),3671,81.0
Western,"Outlaw Josey Wales, The (1976)",3508,81.0
Western,Little Big Man (1970),3037,81.0
War,"Run Silent, Run Deep (1958)",2670,80.0
Western,"Castaway Cowboy, The (1974)",3601,80.0
Western,Hud (1963),3467,80.0
Western,Once Upon a Time in the West (1969),1209,80.0
Western,Lonely Are the Brave (1962),3737,80.0
Comedy,You Can't Take It With You (1938),1934,80.0
Thriller,Suspicion (1941),2206,80.0
Comedy,Where's Marlowe? (1999),3057,80.0
Film-Noir,Bluebeard (1944),3305,80.0
Documentary,Modulations (1998),2198,80.0
Documentary,"Last Days, The (1998)",2494,80.0
Action,Star Wars: Episode VI - Return of the Jedi (1983),1210,80.0
Horror,Bluebeard (1944),3305,80.0
Sci-Fi,Close Encounters of the Third Kind (1977),3471,80.0
Romance,Star Wars: Episode VI - Return of the Jedi (1983),1210,80.0
Comedy,Seven Chances (1925),3232,80.0
Fantasy,"Hungarian Fairy Tale, A (1987)",792,80.0
Adventure,Star Wars: Episode VI - Return of the Jedi (1983),1210,80.0
Thriller,"Innocents, The (1961)",1076,80.0
Comedy,"Castaway Cowboy, The (1974)",3601,80.0
War,Land and Freedom (Tierra y libertad) (1995),632,80.0
Comedy,Smoking/No Smoking (1993),3530,80.0
Romance,Leather Jacket Love Story (1997),1851,80.0
Sci-Fi,Back to the Future (1985),1270,80.0
Comedy,"Closer You Get, The (2000)",3353,80.0
Documentary,Dear Jesse (1997),1901,80.0
Documentary,Everest (1998),1797,80.0
Animation,Winnie the Pooh and the Blustery Day (1968),1023,80.0
Film-Noir,Force of Evil (1948),746,80.0
Film-Noir,Gilda (1946),2940,80.0
Thriller,Condition Red (1995),624,80.0
Action,"Stranger, The (1994)",1434,80.0
Action,Target (1995),139,80.0
Comedy,With Friends Like These... (1998),2811,80.0
Documentary,Sonic Outlaws (1995),134,80.0
Romance,"Closer You Get, The (2000)",3353,80.0
Comedy,"Women, The (1939)",927,80.0
Documentary,Rhyme & Reason (1997),1470,80.0
Comedy,"Big One, The (1997)",1827,80.0
Comedy,"Friend of the Deceased, A (1997)",1871,80.0
Comedy,"Bank Dick, The (1940)",3929,80.0
Comedy,Man of the Century (1999),2999,80.0
Comedy,Local Hero (1983),1238,80.0
Comedy,Love and Death (1975),3814,80.0
Comedy,Much Ado About Nothing (1993),497,80.0
Comedy,Mouth to Mouth (Boca a boca) (1995),717,80.0
War,"Dirty Dozen, The (1967)",2944,80.0
Comedy,Sleeper (1973),1077,80.0
Crime,Serpico (1973),3735,80.0
Thriller,Nikita (La Femme Nikita) (1990),1249,80.0
War,Gone with the Wind (1939),920,80.0
Sci-Fi,Delicatessen (1991),1175,80.0
Horror,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",1348,80.0
Thriller,Witness (1985),1674,80.0
Horror,Frankenstein (1931),2648,80.0
